Date,Open,High,Low,Close,Volume,Ticker
2014-02-21,1836.0,1844.0,1832.75,1834.25,1316655,ES=F
2014-02-24,1835.25,1856.75,1829.25,1846.0,1612323,ES=F
2014-02-25,1844.75,1851.0,1837.25,1846.25,1566204,ES=F
2014-02-26,1847.5,1853.25,1838.0,1842.0,1464320,ES=F
2014-02-27,1843.75,1855.75,1832.75,1854.0,1615828,ES=F
2014-02-28,1854.5,1866.5,1845.25,1857.5,2106508,ES=F
2014-03-03,1846.0,1849.5,1832.25,1843.0,2376689,ES=F
2014-03-04,1843.75,1874.75,1843.5,1871.5,1750397,ES=F
2014-03-05,1870.75,1875.5,1867.75,1872.5,1254803,ES=F
2014-03-06,1873.75,1881.0,1871.0,1876.25,1283006,ES=F
2014-03-07,1876.25,1887.5,1869.25,1878.0,1756169,ES=F
2014-03-10,1875.5,1878.75,1865.75,1877.25,1167755,ES=F
2014-03-11,1876.25,1882.25,1863.0,1865.25,1609666,ES=F
2014-03-12,1864.75,1869.0,1853.75,1867.75,1666288,ES=F
2014-03-13,1868.75,1875.0,1841.5,1846.75,2346907,ES=F
2014-03-14,1847.25,1853.0,1839.0,1840.0,1309202,ES=F
2014-03-17,1839.5,1862.75,1830.5,1857.75,797416,ES=F
2014-03-18,1858.75,1874.0,1852.5,1870.75,871094,ES=F
2014-03-19,1871.0,1874.5,1849.5,1859.75,640709,ES=F
2014-03-20,1858.5,1874.25,1852.5,1873.75,344340,ES=F
2014-03-21,1873.0,1882.0,1870.75,1881.75,1750423,ES=F
2014-03-24,1855.5,1866.0,1841.25,1849.5,1835881,ES=F
2014-03-25,1850.25,1864.5,1848.0,1859.25,1657649,ES=F
2014-03-26,1859.0,1868.75,1841.5,1842.5,1898746,ES=F
2014-03-27,1845.0,1848.5,1834.0,1840.5,2031166,ES=F
2014-03-28,1843.5,1859.5,1841.5,1850.5,1502152,ES=F
2014-03-31,1855.0,1868.0,1855.0,1864.5,1572419,ES=F
2014-04-01,1864.5,1878.75,1862.25,1877.75,1213329,ES=F
2014-04-02,1877.75,1886.25,1876.25,1883.0,1181442,ES=F
2014-04-03,1882.75,1887.5,1875.5,1883.0,1239722,ES=F
2014-04-04,1884.25,1892.5,1855.75,1860.0,2496813,ES=F
2014-04-07,1861.0,1861.75,1834.5,1838.0,2179083,ES=F
2014-04-08,1840.0,1849.0,1830.75,1845.0,1854828,ES=F
2014-04-09,1845.0,1866.5,1843.75,1864.75,1414210,ES=F
2014-04-10,1865.75,1867.5,1823.75,1827.0,2378458,ES=F
2014-04-11,1829.5,1832.0,1807.25,1811.75,2527152,ES=F
2014-04-14,1806.0,1828.0,1803.25,1824.5,1885532,ES=F
2014-04-15,1825.0,1844.0,1809.25,1839.5,2609484,ES=F
2014-04-16,1842.75,1857.0,1840.5,1852.75,1643896,ES=F
2014-04-17,1852.5,1863.75,1847.25,1858.0,1255343,ES=F
2014-04-21,1859.25,1865.5,1856.5,1864.5,533891,ES=F
2014-04-22,1864.25,1878.75,1860.75,1874.0,1106460,ES=F
2014-04-23,1873.0,1880.75,1867.5,1873.0,1000557,ES=F
2014-04-24,1879.0,1882.5,1863.75,1873.0,1577086,ES=F
2014-04-25,1872.5,1873.75,1853.0,1860.0,1507792,ES=F
2014-04-28,1861.75,1871.75,1844.0,1866.0,2065197,ES=F
2014-04-29,1866.0,1875.25,1865.0,1871.75,1219110,ES=F
2014-04-30,1870.5,1880.25,1866.25,1878.0,1502102,ES=F
2014-05-01,1879.5,1882.75,1871.5,1877.75,938351,ES=F
2014-05-02,1878.75,1886.0,1872.0,1874.5,1717169,ES=F
2014-05-05,1875.5,1880.0,1860.5,1875.75,1176754,ES=F
2014-05-06,1877.5,1881.5,1861.75,1864.25,1379161,ES=F
2014-05-07,1864.0,1875.75,1854.5,1874.25,1999538,ES=F
2014-05-08,1874.75,1884.75,1865.0,1872.25,1753107,ES=F
2014-05-09,1870.25,1875.0,1862.5,1873.5,1476536,ES=F
2014-05-12,1874.0,1894.0,1874.0,1892.75,1183703,ES=F
2014-05-13,1893.5,1898.5,1892.0,1894.25,1076997,ES=F
2014-05-14,1894.75,1897.25,1882.25,1885.25,1186879,ES=F
2014-05-15,1885.75,1888.5,1859.0,1867.25,2247238,ES=F
2014-05-16,1867.0,1875.75,1861.25,1874.75,1522446,ES=F
2014-05-19,1876.25,1883.0,1865.75,1882.25,1035685,ES=F
2014-05-20,1881.5,1884.5,1864.75,1868.0,1564172,ES=F
2014-05-21,1868.5,1886.5,1866.5,1885.0,1358710,ES=F
2014-05-22,1883.75,1894.0,1882.75,1890.25,1026615,ES=F
2014-05-23,1890.25,1899.25,1889.5,1897.0,761557,ES=F
2014-05-27,1898.0,1910.0,1897.0,1909.25,922499,ES=F
2014-05-28,1909.75,1914.0,1904.5,1909.0,1062079,ES=F
2014-05-29,1909.75,1918.0,1907.25,1918.0,981817,ES=F
2014-05-30,1917.0,1922.25,1914.25,1921.5,1169034,ES=F
2014-06-02,1921.25,1924.25,1913.75,1921.75,1053526,ES=F
2014-06-03,1921.5,1923.5,1916.0,1922.0,948001,ES=F
2014-06-04,1922.75,1927.0,1916.0,1925.75,917108,ES=F
2014-06-05,1925.5,1940.75,1921.0,1938.5,1676659,ES=F
2014-06-06,1938.5,1949.75,1937.75,1949.25,1205739,ES=F
2014-06-09,1949.25,1954.75,1945.75,1950.25,1026966,ES=F
2014-06-10,1949.25,1951.75,1943.0,1950.5,1038073,ES=F
2014-06-11,1950.75,1951.0,1938.5,1944.0,1348569,ES=F
2014-06-12,1943.75,1947.75,1924.75,1930.5,1665612,ES=F
2014-06-13,1930.75,1937.0,1926.5,1935.75,945294,ES=F
2014-06-16,1934.25,1940.75,1926.5,1936.5,866802,ES=F
2014-06-17,1936.5,1943.5,1931.25,1941.5,881102,ES=F
2014-06-18,1941.5,1958.0,1938.0,1957.0,522409,ES=F
2014-06-19,1956.0,1960.25,1952.25,1958.5,369578,ES=F
2014-06-20,1957.5,1970.0,1956.75,1968.0,1162086,ES=F
2014-06-23,1952.75,1959.75,1950.0,1953.0,1024411,ES=F
2014-06-24,1951.25,1960.0,1939.75,1943.25,1530560,ES=F
2014-06-25,1942.25,1953.25,1937.25,1949.5,1532088,ES=F
2014-06-26,1948.75,1952.5,1936.25,1948.75,1486643,ES=F
2014-06-27,1948.25,1954.0,1942.75,1952.0,1176129,ES=F
2014-06-30,1951.75,1956.75,1948.0,1952.5,1155861,ES=F
2014-07-01,1954.5,1971.75,1953.5,1965.75,1455654,ES=F
2014-07-02,1966.25,1970.0,1964.5,1967.75,920982,ES=F
